;M1 s0;M2 s0;M1 s1;M2 s1
0.8;57;41.1;198.3;100.4
0.81;46.5;34.4;155.1;82.9
0.82;35.8;28.3;115;61.9
0.83;26.9;22.6;77.9;43.5
0.84;20.3;17.4;51.3;27.3
0.85;14.2;14;32.4;18
0.86;8.6;9.8;17.3;11
0.87;4.6;6.6;9.7;6.8
0.88;3.2;4.7;4.5;3.6
0.89;1.4;3;1.9;1.8
0.9;0.5;1.6;0;0.5
0.91;0.1;0.5;0;0.1
0.92;0;0.3;0;0
0.93;0;0.1;0;0
0.94;0;0;0;0
0.95;0;0;0;0
0.96;0;0;0;0
0.97;0;0;0;0
0.98;0;0;0;0
0.99;0;0;0;0
1;0;0;0;0
;;;;
M2.s0;;;;
0.8;41.1;;;
0.81;34.4;;;
0.82;28.3;;;
0.83;22.6;;;
0.84;17.4;;;
0.85;14;;;
0.86;9.8;;;
0.87;6.6;;;
0.88;4.7;;;
0.89;3;;;
0.9;1.6;;;
0.91;0.5;;;
0.92;0.3;;;
0.93;0.1;;;
0.94;0;;;
0.95;0;;;
0.96;0;;;
0.97;0;;;
0.98;0;;;
0.99;0;;;
1;0;;;
;;;;
M1.s1;;;;
0.8;198.3;;;
0.81;155.1;;;
0.82;115;;;
0.83;77.9;;;
0.84;51.3;;;
0.85;32.4;;;
0.86;17.3;;;
0.87;9.7;;;
0.88;4.5;;;
0.89;1.9;;;
0.9;0;;;
0.91;0;;;
0.92;0;;;
0.93;0;;;
0.94;0;;;
0.95;0;;;
0.96;0;;;
0.97;0;;;
0.98;0;;;
0.99;0;;;
1;0;;;
;;;;
M2.s1;;;;
0.8;100.4;;;
0.81;82.9;;;
0.82;61.9;;;
0.83;43.5;;;
0.84;27.3;;;
0.85;18;;;
0.86;11;;;
0.87;6.8;;;
0.88;3.6;;;
0.89;1.8;;;
0.9;0.5;;;
0.91;0.1;;;
0.92;0;;;
0.93;0;;;
0.94;0;;;
0.95;0;;;
0.96;0;;;
0.97;0;;;
0.98;0;;;
0.99;0;;;
1;0;;;
